Id_Siniestro;Nro_Victimas;Fecha;Franja_Hora;Tipo_Calle;Comuna;Longitud;Latitud;Victima;Acusado;Rol;Sexo;Edad;Año;Mes;Semestre
2017-0009;1;16/01/2017;Tarde;Autopista;5;-58,41595919;-34,62743346;Moto;Cargas;Conductor;Masculino;36;2017;1;1
2017-0010;1;16/01/2017;Tarde;Avenida;6;-58,4356488;-34,62828656;Moto;Auto;Conductor;Masculino;23;2017;1;1
2017-0011;1;22/01/2017;Madrugada;Gral Paz;12;-58,5007381;-34,5497951;Moto;Objeto Fijo;Pasajero_Acompañante;Femenino;29;2017;1;1
2017-0012;1;24/01/2017;Tarde;Calle;4;-58,40969005;-34,6505529;Moto;Cargas;Conductor;Masculino;30;2017;1;1
2017-0013;1;27/01/2017;Mañana;Avenida;4;-58,38972622;-34,65098981;Peaton;Cargas;Peaton;Masculino;4;2017;1;1
2017-0014;1;28/01/2017;Mañana;Avenida;12;-58,49185972;-34,55046754;Moto;Multiple;Pasajero_Acompañante;Femenino;22;2017;1;1
2017-0015;1;2/02/2017;Tarde;Avenida;2;-58,39293417;-34,59963642;Peaton;Auto;Peaton;Masculino;82;2017;2;1
2017-0016;1;3/02/2017;Madrugada;Autopista;1;-58,38099494;-34,62288231;Moto;Cargas;Conductor;Masculino;27;2017;2;1
2017-0017;1;6/02/2017;Mañana;Avenida;14;-58,429012;-34,58095431;Moto;Auto;Conductor;Masculino;32;2017;2;1
2017-0018;1;9/02/2017;Mañana;Gral Paz;9;-58,50877521;-34,66977709;Moto;Auto;Conductor;Masculino;30;2017;2;1
2017-0021;1;18/02/2017;Madrugada;Calle;1;-58,38362373;-34,60509972;Moto;Pasajeros;Conductor;Masculino;43;2017;2;1
2017-0024;1;23/02/2017;Noche;Avenida;7;-58,46589308;-34,62955795;Peaton;Pasajeros;Peaton;Masculino;39;2017;2;1
2017-0025;1;24/02/2017;Tarde;Avenida;7;-58,43614426;-34,6542464;Moto;NaN;Conductor;Masculino;23;2017;2;1
2017-0026;2;26/02/2017;Madrugada;Avenida;4;-58,41842777;-34,64979057;Auto;Objeto Fijo;Pasajero_Acompañante;Femenino;23;2017;2;1
2017-0026;2;26/02/2017;Madrugada;Avenida;4;-58,41842777;-34,64979057;Auto;Objeto Fijo;Conductor;Masculino;19;2017;2;1
2017-0027;1;26/02/2017;Noche;Avenida;1;-58,38332245;-34,6319325;Peaton;Auto;Peaton;Masculino;;2017;2;1
2017-0028;1;28/02/2017;Mañana;Avenida;6;-58,45475488;-34,61196327;Peaton;Auto;Peaton;Masculino;87;2017;2;1
2017-0029;1;7/03/2017;Madrugada;Calle;9;-58,48501341;-34,64742455;NaN;Auto;NaN;Masculino;34;2017;3;1
2017-0030;1;7/03/2017;Mañana;Avenida;9;-58,47010988;-34,65872088;Auto;Pasajeros;Conductor;Femenino;27;2017;3;1
2017-0031;1;11/03/2017;Madrugada;Calle;3;-58,4099756;-34,62873635;Auto;Objeto Fijo;Pasajero_Acompañante;Masculino;70;2017;3;1
2017-0032;1;12/03/2017;Madrugada;Gral Paz;8;-58,48892175;-34,68359163;Auto;Auto;Pasajero_Acompañante;Femenino;40;2017;3;1
2017-0033;1;12/03/2017;Mañana;Gral Paz;11;-58,52466448;-34,60325478;Auto;Auto;Conductor;Masculino;28;2017;3;1
2017-0034;1;13/03/2017;Mañana;Calle;14;-58,42554218;-34,57929036;Peaton;Auto;Peaton;Masculino;43;2017;3;1
2017-0035;3;23/03/2017;Madrugada;Avenida;1;-58,35881506;-34,61113641;Auto;Objeto Fijo;Conductor;Masculino;28;2017;3;1
2017-0035;3;23/03/2017;Madrugada;Avenida;1;-58,35881506;-34,61113641;Auto;Objeto Fijo;Pasajero_Acompañante;Masculino;32;2017;3;1
2017-0035;3;23/03/2017;Madrugada;Avenida;1;-58,35881506;-34,61113641;Auto;Objeto Fijo;Pasajero_Acompañante;Masculino;30;2017;3;1
2017-0036;2;29/03/2017;Noche;Gral Paz;12;-58,51452347;-34,58159762;Moto;Pasajeros;Pasajero_Acompañante;Femenino;;2017;3;1
2017-0036;2;29/03/2017;Noche;Gral Paz;12;-58,51452347;-34,58159762;Moto;Pasajeros;Conductor;Masculino;20;2017;3;1
2017-0037;1;31/03/2017;Madrugada;Avenida;1;-58,38896772;-34,61799615;Moto;Cargas;Conductor;Masculino;41;2017;3;1
2017-0038;1;1/04/2017;Noche;Avenida;7;-58,44516857;-34,64363363;Moto;Auto;Conductor;Femenino;40;2017;4;1
2017-0040;1;3/04/2017;Mañana;Avenida;13;-58,43834197;-34,54560369;Auto;Multiple;Conductor;Masculino;43;2017;4;1
2017-0041;1;3/04/2017;Noche;Calle;7;-58,45485084;-34,63531854;Moto;Auto;Conductor;Masculino;17;2017;4;1
