Id_Siniestro,Nro_Victimas,Fecha,Franja_Hora,Tipo_Calle,Comuna,Longitud,Latitud,Victima,Acusado,Rol,Sexo,Edad
2017-0054,1,2017-05-07,21,Avenida,15,-58.48680218,-34.58689719,Moto,Auto,Pasajero_Acompañante,Femenino,20
2017-0055,1,2017-05-09,8,Avenida,12,-58.49563989,-34.57962262,Auto,Auto,Conductor,Masculino,32
2017-0058,1,2017-05-09,23,Avenida,1,-58.38403232,-34.59915940,Peaton,Moto,Peaton,Masculino,80
2017-0059,1,2017-05-11,9,Calle,1,-58.38223382,-34.62693865,Peaton,Pasajeros,Peaton,Femenino,39
2017-0060,1,2017-05-13,7,Avenida,8,-58.45966521,-34.67323292,Moto,Objeto Fijo,Pasajero_Acompañante,Masculino,30
2017-0061,1,2017-05-15,13,Avenida,2,-58.39303911,-34.59871111,Peaton,Moto,Peaton,Masculino,47
2017-0062,1,2017-05-15,16,Avenida,10,-58.51262106,-34.63395999,Moto,Cargas,Conductor,Masculino,35
2017-0063,1,2017-05-17,10,Avenida,1,-58.38118367,-34.61646839,Peaton,Pasajeros,Peaton,Femenino,79
2017-0064,1,2017-05-20,5,Calle,1,-58.37653284,-34.60582475,Cargas,Auto,Pasajero_Acompañante,Masculino,61
2017-0065,1,2017-05-22,16,Avenida,4,-58.37709334,-34.64035082,Bicicleta,Cargas,Ciclista,Masculino,21
2017-0066,1,2017-05-22,18,Avenida,15,-58.46002142,-34.60409469,Peaton,Pasajeros,Peaton,Masculino,10
2017-0067,1,2017-05-23,2,Avenida,6,-58.43381970,-34.62801894,Moto,Cargas,Conductor,Masculino,21
2017-0068,1,2017-05-27,19,Avenida,8,-58.43580656,-34.66437532,Moto,Objeto Fijo,Conductor,Masculino,32
2017-0069,1,2017-05-24,14,Gral Paz,9,-58.52173071,-34.65997463,Moto,,Conductor,Masculino,39
2017-0070,1,2017-05-30,13,Calle,11,-58.50791763,-34.59804273,Peaton,Auto,Peaton,Masculino,80
2017-0072,1,2017-06-03,23,Avenida,12,-58.49175088,-34.58226957,Auto,Auto,Conductor,Masculino,25
2017-0073,1,2017-06-04,9,Avenida,3,-58.40781467,-34.60425669,Moto,Auto,Conductor,Masculino,19
2017-0074,1,2017-06-04,12,Calle,9,-58.52567073,-34.63787791,,,,Masculino,70
2017-0075,1,2017-06-12,22,Avenida,1,-58.38154200,-34.60906385,Peaton,Moto,Peaton,Masculino,55
2017-0076,1,2017-06-13,14,Avenida,2,-58.38526125,-34.57805810,Peaton,Cargas,Peaton,Femenino,30
2017-0077,1,2017-06-17,23,Calle,14,-58.42934104,-34.58451712,Moto,Cargas,Conductor,Femenino,60
2017-0079,1,2017-06-19,16,Calle,3,-58.40657493,-34.61781124,Moto,Cargas,Conductor,Masculino,33
2017-0080,1,2017-06-22,10,Avenida,9,-58.49525314,-34.64487785,Peaton,Cargas,Peaton,Femenino,95
2017-0082,1,2017-06-25,22,Avenida,4,-58.39092851,-34.62932696,Peaton,Auto,Peaton,Masculino,36
2017-0083,1,2017-07-04,0,Avenida,9,-58.49603546,-34.64564271,Moto,Cargas,Conductor,Masculino,37
2017-0084,1,2017-07-05,12,Avenida,2,-58.38502878,-34.58703485,Peaton,Pasajeros,Peaton,Femenino,73
2017-0085,1,2017-07-07,14,Avenida,4,-58.37261143,-34.63150425,Peaton,Pasajeros,Peaton,Masculino,84
2017-0086,1,2017-07-09,7,Avenida,9,-58.51876802,-34.63905965,Peaton,Moto,Peaton,Femenino,30
2017-0087,1,2017-07-10,10,Calle,3,-58.41095567,-34.61516101,Peaton,Auto,Peaton,Femenino,73
2017-0088,1,2017-07-10,22,Avenida,1,-58.36797542,-34.62519403,Peaton,Pasajeros,Peaton,Masculino,43
2017-0089,1,2017-07-13,12,Calle,9,-58.51514709,-34.64787051,,Auto,,Masculino,23
2017-0090,1,2017-07-15,5,Gral Paz,11,-58.51925642,-34.59171721,Peaton,Auto,Peaton,Masculino,22
2017-0091,1,2017-07-15,13,Gral Paz,12,-58.48671535,-34.54321216,Moto,,Conductor,Masculino,58
2017-0092,1,2017-07-24,22,Autopista,1,-58.38268809,-34.62282019,Peaton,Auto,Peaton,Masculino,66
2017-0093,1,2017-07-25,16,Autopista,13,-58.43633522,-34.54966288,Peaton,Auto,Peaton,Masculino,
